City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Butaritari,KI,2021-11-01 20:43:57,3.0707,172.7902,81.41,74,25,10.94
89,Tiarei,PF,2021-11-01 20:34:13,-17.5333,-149.3333,84.22,82,22,17.63
90,Saint-Louis,SN,2021-11-01 20:43:58,16.3333,-15.0,90.93,16,99,9.73
91,Chuy,UY,2021-11-01 20:43:59,-33.6971,-53.4616,67.98,86,99,10.58
92,Rocha,UY,2021-11-01 20:39:30,-34.4833,-54.3333,68.43,83,100,8.63
93,Avarua,CK,2021-11-01 20:42:34,-21.2078,-159.775,78.85,65,75,13.8
94,Luderitz,NA,2021-11-01 20:45:00,-26.6481,15.1594,60.26,70,0,18.57
95,Taulov,DK,2021-11-01 20:45:01,55.5458,9.6155,51.76,81,53,14.76
96,Amarillo,US,2021-11-01 20:41:18,35.222,-101.8313,72.03,40,1,3.0
97,Guerrero Negro,MX,2021-11-01 20:45:02,27.9769,-114.0611,72.1,62,56,15.19
98,Upernavik,GL,2021-11-01 20:45:03,72.7868,-56.1549,24.15,87,100,14.99
99,Lakes Entrance,AU,2021-11-01 20:45:04,-37.8811,147.981,53.17,69,0,3.76
100,Nanortalik,GL,2021-11-01 20:45:04,60.1432,-45.2371,38.1,66,100,8.84
101,Bocaiuva,BR,2021-11-01 20:45:05,-17.1078,-43.815,73.11,83,100,5.68
102,Xinyu,CN,2021-11-01 20:45:06,27.8043,114.9334,59.05,95,100,2.91
103,Toccoa,US,2021-11-01 20:45:07,34.5773,-83.3324,72.86,52,1,0.0
104,Kruisfontein,ZA,2021-11-01 20:45:07,-34.0033,24.7314,60.89,69,39,27.54
105,Fukue,JP,2021-11-01 20:45:08,32.6881,128.8419,64.62,57,69,16.62
106,Namibe,AO,2021-11-01 20:45:09,-15.1961,12.1522,65.28,79,13,6.11
107,Fraga,ES,2021-11-01 20:45:09,41.5229,0.3489,54.52,53,0,11.86
108,Merrill,US,2021-11-01 20:45:10,45.1805,-89.6835,38.97,64,90,11.5
109,Ribeira Grande,PT,2021-11-01 20:45:10,38.5167,-28.7,72.0,94,75,8.05
110,Talnakh,RU,2021-11-01 20:45:11,69.4865,88.3972,-5.49,94,94,8.32
111,Sucua,EC,2021-11-01 20:45:11,-2.4667,-78.1667,83.14,50,40,2.3
112,Cabo San Lucas,MX,2021-11-01 20:45:12,22.8909,-109.9124,89.51,63,20,5.84
113,Avera,US,2021-11-01 20:45:12,33.194,-82.5271,73.74,42,0,4.41
114,Mehamn,NO,2021-11-01 20:45:13,71.0357,27.8492,41.18,87,0,23.02
115,Touros,BR,2021-11-01 20:39:39,-5.1989,-35.4608,83.3,72,99,12.73
116,Hilo,US,2021-11-01 20:45:14,19.7297,-155.09,82.26,62,20,3.44
117,Salinopolis,BR,2021-11-01 20:45:14,-0.6136,-47.3561,79.75,83,99,8.68
118,Mocuba,MZ,2021-11-01 20:45:15,-16.8392,36.9856,75.9,85,1,2.17
119,Shingu,JP,2021-11-01 20:45:15,33.7333,135.9833,59.02,78,100,4.7
120,Mahebourg,MU,2021-11-01 20:45:16,-20.4081,57.7,73.69,78,40,6.91
121,Hamilton,US,2021-11-01 20:45:00,39.1834,-84.5333,56.77,47,1,1.01
122,Abha,SA,2021-11-01 20:42:11,18.2164,42.5053,58.82,82,0,0.0
123,Timmins,CA,2021-11-01 20:42:53,48.4669,-81.3331,35.42,87,90,12.66
124,Khatanga,RU,2021-11-01 20:45:17,71.9667,102.5,3.69,97,100,5.28
125,Jacqueville,CI,2021-11-01 20:45:18,5.2052,-4.4146,80.51,83,9,9.71
126,Vila Velha,BR,2021-11-01 20:45:18,-20.3297,-40.2925,75.15,94,90,8.05
127,Santiago,CL,2021-11-01 20:42:13,-33.4569,-70.6483,74.64,45,90,5.75
128,Beatrice,US,2021-11-01 20:45:19,40.2681,-96.747,43.0,87,90,0.0
129,Bluff,NZ,2021-11-01 20:45:20,-46.6,168.3333,50.4,52,43,19.13
130,Henties Bay,NA,2021-11-01 20:45:20,-22.116,14.2845,59.86,83,0,9.8
131,Salalah,OM,2021-11-01 20:34:16,17.0151,54.0924,77.09,73,0,3.44
132,Zhanaozen,KZ,2021-11-01 20:41:15,43.3,52.8,52.5,33,100,13.31
133,Kurchum,KZ,2021-11-01 20:45:21,48.5722,83.6542,39.65,95,100,11.83
134,Puerto Ayora,EC,2021-11-01 20:45:21,-0.7393,-90.3518,76.96,78,66,9.66
135,Glens Falls,US,2021-11-01 20:40:51,43.3095,-73.644,54.07,61,20,1.01
136,Gerash,IR,2021-11-01 20:45:22,27.6652,54.1371,68.14,21,6,5.75
137,Monterey,US,2021-11-01 20:45:23,36.2505,-121.2516,60.03,61,100,4.97
138,Havre-Saint-Pierre,CA,2021-11-01 20:44:08,50.2334,-63.5986,50.0,87,90,12.66
139,Joao Pinheiro,BR,2021-11-01 20:46:23,-17.7425,-46.1725,68.25,93,75,7.49
140,Faanui,PF,2021-11-01 20:46:24,-16.4833,-151.75,79.52,78,18,12.19
141,Nyirvasvari,HU,2021-11-01 20:46:24,47.8167,22.1868,42.31,68,0,7.49
142,New Norfolk,AU,2021-11-01 20:46:25,-42.7826,147.0587,55.92,74,53,1.99
143,Gat,IL,2021-11-01 20:46:26,31.61,34.7642,74.39,72,98,5.12
144,Bitkine,TD,2021-11-01 20:46:26,11.9801,18.2138,90.28,23,100,6.55
145,Longonjo,AO,2021-11-01 20:46:27,-12.9067,15.2533,70.84,56,98,3.24
146,Olafsvik,IS,2021-11-01 20:36:41,64.8945,-23.7142,34.25,69,100,22.64
147,Fairbanks,US,2021-11-01 20:46:28,64.8378,-147.7164,33.6,80,1,1.99
148,Saskylakh,RU,2021-11-01 20:46:28,71.9167,114.0833,-3.86,100,100,1.63
149,Lixourion,GR,2021-11-01 20:46:29,38.2019,20.4314,63.86,90,100,18.77
150,Sakaiminato,JP,2021-11-01 20:46:29,35.55,133.2333,53.58,94,40,6.91
151,Calama,CL,2021-11-01 20:46:30,-22.4667,-68.9333,75.69,9,0,25.32
152,Arraial Do Cabo,BR,2021-11-01 20:46:30,-22.9661,-42.0278,71.56,100,90,11.5
153,Laerdalsoyri,NO,2021-11-01 20:46:31,61.098,7.4816,53.92,53,40,6.91
154,Lebu,CL,2021-11-01 20:46:31,-37.6167,-73.65,56.46,69,30,6.93
155,Sabzevar,IR,2021-11-01 20:46:32,36.2126,57.6819,56.77,36,80,6.85
156,Norman Wells,CA,2021-11-01 20:46:32,65.282,-126.8329,21.24,93,75,4.61
157,Pacific Grove,US,2021-11-01 20:46:33,36.6177,-121.9166,63.43,89,100,3.0
158,Kiama,AU,2021-11-01 20:39:29,-34.6833,150.8667,66.99,88,5,1.61
