City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
123,Borodino,55.9106,94.8983,8.78,78,99,15.5,RU,overcast clouds
124,Ca Mau,9.1769,105.15,76.1,94,63,4.83,VN,broken clouds
125,Perth,-31.9333,115.8333,61.18,78,75,10.36,AU,broken clouds
126,Champerico,14.3,-91.9167,90.36,70,89,4.68,GT,overcast clouds
127,Fort Pierce,27.4467,-80.3256,81.07,70,100,8.01,US,overcast clouds
128,Kontagora,10.3999,5.4695,83.53,47,13,4.05,NG,few clouds
129,Cape Town,-33.9258,18.4232,66.27,79,20,1.01,ZA,few clouds
130,Bahia Blanca,-38.7196,-62.2724,49.71,95,100,12.41,AR,light rain
131,Kiunga,-6.1219,141.2906,73.27,98,100,1.52,PG,overcast clouds
132,Gat,31.61,34.7642,73.4,74,0,8.77,IL,clear sky
133,Anadyr,64.75,177.4833,-16.1,76,20,8.95,RU,few clouds
134,Sola,-13.8833,167.55,78.53,79,71,2.06,VU,broken clouds
135,Qaqortoq,60.7167,-46.0333,33.94,94,100,6.06,GL,light rain
136,Fort-Shevchenko,44.5086,50.263,49.75,27,100,21.92,KZ,overcast clouds
137,Huanuco,-9.9329,-76.2415,78.28,52,69,10.89,PE,broken clouds
138,Ashcroft,50.7165,-121.2859,52.48,86,98,6.55,CA,overcast clouds
139,Caravelas,-17.7125,-39.2481,80.62,70,81,8.39,BR,broken clouds
140,Hithadhoo,-0.6,73.0833,82.31,74,83,9.69,MV,broken clouds
141,Kwidzyn,53.7249,18.9311,50.23,78,96,20.29,PL,overcast clouds
142,Yulara,-25.2406,130.9889,75.04,57,86,6.91,AU,overcast clouds
143,Aklavik,68.2191,-135.0107,18.43,92,40,0.0,CA,scattered clouds
144,Gushikawa,26.3544,127.8686,70.83,82,75,6.91,JP,broken clouds
145,Fortuna,40.5982,-124.1573,56.93,74,75,0.0,US,broken clouds
146,Jiwani,25.05,61.7417,78.6,68,1,8.57,PK,clear sky
147,Tarakan,3.3,117.6333,81.18,78,99,4.94,ID,overcast clouds
148,Antioquia,7.0,-75.5,64.53,67,100,3.69,CO,overcast clouds
149,Atar,20.5169,-13.0499,90.75,14,21,9.24,MR,few clouds
150,Port Hardy,50.6996,-127.4199,51.98,93,90,19.57,CA,light intensity shower rain
151,Dingle,10.9995,122.6711,75.72,94,100,4.88,PH,overcast clouds
152,Mount Gambier,-37.8333,140.7667,42.71,93,75,8.05,AU,fog
153,Cidreira,-30.1811,-50.2056,70.65,89,42,9.37,BR,scattered clouds
154,Talnakh,69.4865,88.3972,15.62,97,100,15.84,RU,snow
155,Chuy,-33.6971,-53.4616,74.73,73,77,7.99,UY,broken clouds
156,Norman Wells,65.282,-126.8329,14.04,92,20,4.61,CA,few clouds
157,Salalah,17.0151,54.0924,80.69,74,75,3.44,OM,broken clouds
158,Yellowknife,62.456,-114.3525,39.42,94,20,6.91,CA,few clouds
159,Perelyub,51.8667,50.3667,37.24,28,100,14.52,RU,moderate rain
160,Carauari,-4.8828,-66.8958,88.92,61,94,1.81,BR,overcast clouds
161,Mangrol,21.1167,70.1167,79.41,60,84,1.19,IN,broken clouds
162,Safranbolu,41.2508,32.6942,58.1,70,0,1.77,TR,clear sky
163,Mampong,7.0627,-1.4001,78.62,69,30,2.68,GH,scattered clouds
164,Itupiranga,-5.1347,-49.3267,89.92,46,85,2.21,BR,overcast clouds
165,Irtyshskiy,58.3333,68.1333,26.55,81,35,11.01,RU,scattered clouds
166,Nara,34.6851,135.8049,53.98,70,1,2.59,JP,clear sky
167,Pevek,69.7008,170.3133,-11.79,95,99,6.91,RU,overcast clouds
168,Ponta Do Sol,32.6667,-17.1,69.12,53,65,8.01,PT,broken clouds
